"","Date","Type","Dead","Injured","Location","Details","Perpetrator","Part of","Month"
"12","6","Suicide bombing","23 (+2)","21","Al Anbar Governorate, Iraq","Two suicide bombers attacked a mosque in the town of Al-Jubba while Iraqi soldiers were resting, killing 10 soldiers and themselves. Clashes following the bombings left 13 security personnel dead and 21 wounded. The casualty count for militants was not released.[13][14]","ISIL","Iraq War",1
"13","6","Suicide bombing","1 (+1)","1","Istanbul, Turkey","January 2015 Istanbul suicide bombing: A female suicide bomber detonated her explosives in front of a police station, killing one officer, wounding one officer, and killing herself in the process.[15][16]","DHKPC","",1
"14","7","Car bomb","37 / 38","66","Sana'a, Yemen","January 2015 Sana'a bombing: A car bomb detonated in front of a police academy in Sanaa, killing 33 people and injuring 62.[17]","al-Qaeda in the Arabian Peninsula (suspected)","Yemeni Civil War",1
"15","7","Mass shooting","12","10","Paris, France","Charlie Hebdo shooting: Two heavily armed gunmen entered the Paris offices of satirical news magazine Charlie Hebdo and killed 12 people, including two police officers.[18]","al-Qaeda in the Arabian Peninsula[19]","",1
"16","9","Hostage crisis","4 (+1)","9","Porte de Vincennes, France","Porte de Vincennes hostage crisis: A man identified as Amedy Coulibaly attacked and took control of a kosher market in Porte de Vincennes, immediately killing four people. He then took hostages, and a four-hour siege began. The police raided the market, killing the gunman and freeing the hostages.[20]","ISIL[21]","",1
"17","10","Suicide bombing","7 (+2 )","36","Tripoli, Lebanon","Two suicide bombers struck a cafe in the predominantly Alawite district of Jabal Mohsen in Tripoli. The attackers have been identified as Sunni. The city has seen sectarian violence in the past between the two groups. The al-Nusra Front claimed responsibility.[22]","al-Nusra Front","Syrian Civil War spillover in Lebanon",1
"18","10","Suicide bombing","19+","20+","Maiduguri, Nigeria","At least 19 people were killed by a girl aged about 10 in a suicide bombing attack.[23]","Boko Haram (suspected)","Boko Haram insurgency",1
"19","11","Suicide bombing","3 (+2 )","46","Potiskum, Nigeria","Two young girls walked into a crowded market strapped with explosives. The explosives on one girl detonated, causing the majority of the casualties; the other girl ran away, and her explosives detonated in the middle of the road. One witness said the girls looked as young as 10 years old.[24]","Boko Haram","Boko Haram insurgency",1
"20","12","Melee attack","0 (+6)","0","Xinjiang, China","A man attacked a group of police officers with an axe and an explosive device. The police quickly killed the man charging at them. Five more men came and tried to attack the police officers and set off the explosives, but the police were able to shoot all of the attackers.[25]","Uyghur separatists","Xinjiang conflict",1
"21","13","Artillery","12","18","Volnovakha, Ukraine","Volnovakha bus attack: The Volnovakha bus attack was an MRLS attack on a highway checkpoint near the village of Buhas outside the Volnovakha municipality in the Donetsk Oblast, Ukraine. It resulted in the deaths of 12 passengers of an intercity bus and injuries to 18 others in the area. OSCE Special Monitoring Mission found that all craters were caused by rockets fired from a north-north-eastern direction.[26] These territories were controlled by Donetsk People's Republic.","Donetsk People's Republic","War in Donbass",1
"22","21","Melee attack","0","12","Tel Aviv, Israel","2015 Tel Aviv attacks: 23-year-old Hamza Mohammed Hasan Matrouk, a Palestinian man from the West Bank, illegally entered Israel and boarded a crowded bus during rush hour and stabbed 12 people before being shot in the leg and arrested by police. Three civilians were injured severely.[27]","Hamza Mohammed Hasan Matrouk (lone wolf)","Israeli-Palestinian conflict",1
"23","22","Artillery","13","","Donetsk, Ukraine","Donetsk bus shelling incident: In Donetsk, Ukraine, two military shelling projectiles exploded near a trolleybus and a car. Early reports indicated at least 13 people, all civilians, were killed.","Donetsk People's Republic or Armed Forces of Ukraine (suspected)","War in Donbass",1
"24","23","Mass shooting","15","","Kambari, Nigeria","Boko Haram militants attacked the village of Kambari (near Maiduguri) in Nigeria early in the morning and killed 15 people, including a village leader, and torched the entire village.[28]","Boko Haram","Boko Haram insurgency",1
"25","23","Car bomb","1","48","Zamboanga City, Philippines","A car suspected to have had a bomb exploded in front of a pub, which was across the street from a bus terminal. One person was killed and 48 were injured. Nearby establishments, another car and a tricycle sustained damaged. Zamboanga City Mayor Maria Isabella Climaco suspects that the Abu Sayaf group were behind the explosion as part of their plan to free 57 of their fellow members detained at the city jail, although no group has yet claimed responsibility.[29]","Abu Sayaf
(suspected)","Moro conflict",1
"26","24","Artillery","30","108","Mariupol, Ukraine","January 2015 Mariupol rocket attack: An MRLS attack on Mariupol was launched by pro-Russian forces associated with the Donetsk People's Republic. Shelling killed 30 civilians and injured 108. The OSCE Special Monitoring Mission conducted an analysis, and its initial assessment showed that the impacts were caused by Grad and Uragan rockets that were fired from areas controlled by the ""Donetsk People's Republic"" (""DPR"").[30]","Donetsk People's Republic","War in Donbass",1
"27","25","Attack","67+","","Mamasapano, Philippines","Mamasapano clash: Special Action Force officers had an encounter with fighters from the Bangsamoro Islamic Freedom Fighters, Moro Islamic Liberation Front and private armed groups returning from a successful operation to kill wanted militant Zulkifli Abdhir, also known as Marwan. 44 SAF officers, 18 MILF members, 5 BIFF members, and some civilians were killed[31]","Bangsamoro Islamic Freedom Fighters
Moro Islamic Liberation Front","Moro conflict",1
"28","28","Suicide bombing","10 (+3)","5","Tripoli, Libya","A car bomb was detonated outside the Corinthian Hotel. Three militants rushed inside the hotel and opened fire before blowing themselves up. Five foreigners were among those killed. ISIL claimed that its Tripoli branch was responsible for the attacks[32]","ISIL","Libyan Civil War",1
"29","30","Bombing","60","","Shikarpur, Pakistan","An explosive device was detonated during the Friday prayers in a Shia mosque in Pakistan's Shikarpur town, causing at least 60 deaths and part of the building to collapse. Jundullah, a group associated with the Tehrik-i-Taliban Pakistan, claimed responsibility for the attack.[33]","Jundullah","Sectarianism in Pakistan",1
"30","4–5","Mass shooting","91+","500+","Fotokol, Cameroon","Boko Haram militants reportedly killed at least 91 people by shooting and burning, and injured over 500 in the Fotokol town of Cameroon. The militants also torched mosques and churches of the town.[34]","Boko Haram","Boko Haram insurgency in Cameroon",2
"31","6","Shooting","5 (+109)","17","Bosso and Diffa, Niger","Boko Haram militants attacked Niger's border towns, Bosso and Diffa, early in the morning. The security forces of Niger fought back and killed 109 Boko Haram militants. Four soldiers and one civilian were killed during the attack, and 17 members of the security forces were injured[35]","Boko Haram","Boko Haram insurgency",2
"32","10","Artillery","7","26","Kramatorsk, Ukraine","There was a military shelling incident involving 7 civilian fatalities, which happened on February 10, 2015, in Kramatorsk, Ukraine. Shelling killed 7 civilians and injured 26, including 5 wounded children. 32 Ukrainian Armed Forces personnel were also injured at Kramatorsk airport.[36] OSCE Special Monitoring Mission assessed that the shells were heavy 300mm calibre ammunition fired from a BM-30 Smerch or a latest Tornado Multiple Launch Rocket System (MLRS).[37] Local authorities said the rockets were fired from the DPR-controlled Horlivka, which is about 50 km away from the Kramatorsk.[38]","Donetsk People's Republic","War in Donbass",2
"33","13","Mass shooting, Bombing","22","60","Peshawar, Pakistan","A militant group broke into a mosque and started shooting people. Three explosions were also heard in the mosque. 22 people were killed and at least 60 injured.[39]","Pakistani Taliban","War in North-West Pakistan",2
"34","14","Mass shooting","5","3","Mati, Davao Oriental, Philippines","At least 50 New People's Army members attacked a police station in Mati, Davao Oriental. 30 Police officers on duty were able to defend the police station from attacks prompting the rebels to retreat using three vans. The Philippine Army pursued the escaping militants. A landmine was triggered killing three soldiers and injuring one. Another soldier was killed when he crossed through a NPA checkpoint. The 701st Brigade was caught up with the retreating militants and engaged in a firefight with the communist rebels killing one rebel, but sustaining two more injuries.[40]","New People's Army","CPP-NPA-NDF rebellion",2
"35","14–15","Shooting","2 (+1)","6","Copenhagen, Denmark","2015 Copenhagen shootings: An unidentified man opened gunfire at the ""Art, blasphemy and the freedom of expression"", which was organized by Lars Vilks at Krudttønden cafe at Østerbro in Copenhagen, Denmark on 14 February 2015, the automatic gunfire left one spectator dead and three police wounded. At least 30 bullet holes were visible in the window of the cafe, a popular location known for jazz concerts. Later in the night on 15 February, Dan Uzan, a 38-year-old Jewish community member who was on security duty, was shot in the head and later died outside the Great Synagogue. One attacker was killed.[41]","Omar Abdul Hamid El-Hussein","",2
"36","17","Bombing","8","19","Lahore, Pakistan","An explosion killed eight people and injured 19 in Lahore, Pakistan on 17 February. Jamaat-ul-Ahrar, a breakaway faction of the Tehrik-i-Taliban Pakistan, claimed responsibility for the attack.[42]","Jamaat-ul-Ahrar","War in North-West Pakistan",2
"37","20","Melee attack","1","0","Kawasaki, Japan","Murder of Ryōta Uemura: Japanese police arrested a teenager and two other teenagers suspected of killing a 13-year-old schoolboy, in a chilling murder possibly inspired by Islamist extremist executions, according to local media reports.","3 unnamed suspects (lone wolf)","",2
"38","22","Bombing","4","10–12","Kharkiv, Ukraine","2015 Kharkiv bombing: An explosion at a pro-Ukraine march killed 4 persons and injured more than 10 in Kharkiv, Ukraine.[43] The police informed the OSCE Special Monitoring Mission that the device consisted of the explosive trinitrotoluene (TNT) and shrapnel concealed in a plastic bag and was detonated remotely.[44] Security Service of Ukraine informed OSCE SMM that three suspects associated with the bombing in Kharkiv had been arrested on 26 February, all of whom are linked to Anti-Maidan groups involved in the take-over of government buildings in April 2014.[45]","Anti-Maidan","",2
"39","22","Car bombing","1","9","Chaman, Pakistan","A car bomb explosion killed an eight-year-old child and injured nine people in Chaman, Balochistan, Pakistan.[46]","Unknown","Balochistan conflict",2
"40","24","Bombing","1","7","Chaman, Pakistan","An explosion killed one person and injured seven in Chaman, Balochistan, Pakistan.[47]","Unknown","Balochistan conflict",2
"41","26","Suicide bombing","19 (+2)","17","Biu, Nigeria","Suicide bomb detonates himself near a market in the Northern town of Biu, Nigeria, killing 19 and wounding another 19 people in . Second suicide bomber caught and beaten to death by crowd. Attack was attributed to Boko Haram","Boko Haram","Boko Haram insurgency",2
"42","26","Bombing","15+","unknown","Jos, Nigeria","Millitants throw bombs from a vehicle, killing 15 at a bus stop and motor park in the Nigerian city of Jos after evening prayer. Attack was attributed to Boko Haram.[48]","Boko Haram","Boko Haram insurgency",2
"43","1","Bombing","2","5","Assouan, Egypt","A bomb killed two civilians and wounded 5 others near a police station[49]","Unknown","",3
"44","2","Bombing","2","3","Nangarhar, Afghanistan","A bomb killed two students and wounded three others, all civilians. The Taliban are suspected.[50]","Taliban (suspected)","War in Afghanistan",3
"45","2","Bombing","6","2","Nangarhar, Afghanistan","A bomb killed six civilians and wounded two others, all civilians. The Taliban are suspected.[51]","Taliban (suspected)","War in Afghanistan",3
"46","2","Bombing","2","9","Cairo, Egypt","A bomb killed two civilians and wounded nine other civilians near the Supreme Court.[52]","Unknown","",3
"47","3","Bombing","3","2","Hadramout, Yemen","Three soldiers were killed and two others wounded when a bomb exploded near their vehicle.[53]","ISIL (suspected)","Yemeni Civil War (2015)",3
"48","4","Bombing","3","2","Diffa, Nigeria","Two soldiers were killed and one other wounded when a bomb exploded near their position.[54]","Boko Haram (suspected)","Boko Haram insurgency",3
"49","5","Melee attack","0","1","Seoul, South Korea","The Ambassador of the United States, Mark Lippert, was injured in a knife attack conducted by a Korean nationalist[55]","Korean nationalist","",3
"50","6","Mass shooting","5","9","Bamako, Mali","One French, one Belgian and three Malians were killed in an attack in a district of Bamako frequented by Westerners[56]","Al-Mourabitoun[57]","Northern Mali conflict",3
"51","6","Vehicular assault, Melee attack","0","7","East Jerusalem","A Palestinian driver rammed his car into a crowd of border police, and then attacked them with a knife[58]","Palestinian man
(lone wolf)[59]","Israeli-Palestinian conflict",3
"52","6","Mass shooting","5","6","Kabul, Afghanistan","Five people were killed and six others injured in the attack of a Sufi mosque in Kabul[60]","Unknown","War in Afghanistan",3
"53","7","Suicide bombing","58","139","Maiduguri, Nigeria","Suicide bombs killed 58 and wounded 139 people in Maiduguri, Northern Nigeria. Attacks occurred roughly hour after each other in local markets and a car lot.[61]","Boko Haram","Boko Haram insurgency",3
"54","8","Bombing","1","9","Alexandria, Egypt","A series of explosions killed one person and wounded nine in Alexandria near a supermarket and a police station[62]","Unknown","",3
"55","8","Artillery","3","Dozens","Kidal, Mali","Three people, a UN soldier and two civilians were killed and a dozen injured in Kidal according to minusma[63]","Unknown","Northern Mali conflict",3
"56","15","Suicide bombing","14","70","Lahore, Pakistan","A Church attack occurred on 15 March 2015 at 10:00 am in Lahore, Punjab, Pakistan. Two suicide bombers belonging to the Tehreek-i-Taliban Pakistan splinter group Jamaat-ul-Ahrar blew themselves up at two churches in the Youhanabad area. At least 14 people were killed and seventy were wounded in the attacks.","Jamaat-ul-Ahrar","War in North-West Pakistan",3
"57","18","Shooting, hostage taking","21","40+","Tunis, Tunisia","Bardo National Museum attack: One or two gunmen attacked the Bardo Museum in the center of Tunis, killing 21 people including 18 foreign tourists from 6 European countries as well as Japan, Russia and Australia. One Tunisian woman and a Tunisian army soldier were also killed.","ISIL","",3
"58","20","Shooting","4","10","Kashmir, India","Two heavily armed militants wearing Indian Army uniforms opened fire on a police station near the Pakistani border early Friday, killing three Indian security personnel and a civilian.[64]","Unknown","Kashmir conflict",3
"59","20","Suicide bombing","142","351","Sana'a, Yemen","2015 Sana'a mosque: ISIL militants in Yemen carried out four suicide bombings at the Badr and al-Hashoosh Shia mosques during prayers in the city of Sana'a.[65] bombings","ISIL Yemen branch","Yemeni Civil War (2015)",3
"60","25","Suicide bombing","17","25","Benghazi, Libya","An ISIL affiliate, ""the Shura Council of Benghazi Revolutionaries in Libya,"" carried out three suicide bombings in the city of Benghazi. Twelve were killed and 25 wounded. Five additional dead during attacks with a local militia.[66]","ISIL (affiliate)","Libyan Civil War (2014–present)",3
"61","25","Kidnapping","Unknown","Unknown","Damasak, Nigeria","Boko Haram reportedly kidnapped up to 500 civilians, mostly children, while retreating from Damasak.[67]","Boko Haram","Boko Haram insurgency",3
"62","25","Melee attack","0 (+1)","1","Hebron, West Bank","A 16-year-old Palestinian stabbed an Israel border policeman in the head and chest and was shot dead by Israeli troops. The Palestinian Authority and the family condemned the killing, and dismissed charges that he had tried to stab soldiers.[68]","16-year-old Palestinian lone wolf","Israeli-Palestinian conflict",3
"63","26–27","Suicide bombing, Shooting","24","28","Mogadishu, Somalia","Makka al-Mukarama hotel attack: Six gunmen associated with the Al-Shabaab stormed an upscale hotel for diplomats and government officials in Mogadishu. Seventeen hotel guests, one soldier, and six militants were killed along with twenty-eight wounded. Combat between the militants and Somali troops ended on the second day of the siege after twelve hours of fighting. Somalia's ambassador to Switzerland, Yusuf Bari-Bari, was among the dead.[69]","Al-Shabaab","War in Somalia",3
"64","31","Shooting","1 (+3)","2","Istanbul, Turkey","In Istanbul at a courthouse, the Revolutionary People's Liberation Party-Front of Turkey took one hostage a prosecutor dealing with the case of a 15-year-old who died in a police gas attack. The situation ended with police killing the gunmen. The prosecutor later died at the hospital.","Revolutionary People's Liberation Party-Front","DHKP/C insurgency in Turkey",3
"65","2","Hostage taking, Shooting","147+ (+4)","79","Garissa, Kenya","Garissa University College attack: Six to ten gunmen associated with the Islamic terrorist group Al-Shabaab open fired at the Garissa University in Kenya. Christians were their main target of the attack, with the Islamic extremists separating the Muslims from Christians before executing them. Up to three hundred students are unaccounted for. One hundred and forty-seven students were reported killed, with fears the toll will rise, along with seventy-nine wounded. Four gunmen were killed by security forces.[70][71]","Al-Shabaab","War in Somalia",4
"66","2","Ambush","5","7","Kashmir, India","Gunmen attacked Indian forces in northeastern India and Kashmir on Thursday, killing five security personnel and wounding seven other people.[72]","Unknown","Kashmir conflict",4
"67","2","Ambush","3","4","Arunachal Pradesh, India","An ambush of an army convoy in Arunachal Pradesh in the remote northeast killed three soldiers and wounded four others.[72]","Unknown","",4
"68","3","Car bomb","17","0","Sinai, Egypt","Around 15 Egyptian soldiers and 2 civilians were killed by gunshots and car bombs.","Unknown","Sinai insurgency",4
"69","6","Mass shooting, arson","24","Unknown","Kwajaffa, Nigeria","Up to two dozen militants associated with Boko Haram set fire to a local village and fired upon the villagers at a mosque. The attackers were disguised as preachers and claimed they had come to preach to the villagers.[73] Up to two dozen are thought to be killed and an unknown number wounded.[74]","Boko Haram","Boko Haram insurgency",4
"70","8","Ambush","2","0","Riyadh, Saudi Arabia","Unknown militants shot and killed two patrolling policemen killed in Riyadh No group claimed responsibility but the Islamists groups Al-Qaeda and ISIL are suspected.[75]","Al-Qaeda and |ISIL (suspected)","",4
"71","10","Car bomb","3","12","Baghdad, Iraq","A car bomb blast in Baghdad kills at least three people and injures 12.","Unknown","Iraq War (2014–present)",4
"72","11","Car bomb","0","7","Ko Samui, Thailand","A car bomb in the tourist island of Ko Samui was detonated in the basement of a local mall. Seven were injured with no deaths accounts. Multiple vehicle in the vicinity were damaged[76]","Local Islamic insurgency group","South Thailand insurgency",4
"73","11","Mass shooting","20","0","Baluchistan, Pakistan","Gunmen entered a construction site and shot 20 workers whom they have identified as foreigners. The Baluch Liberation Front claimed responsibility for the attack.[77]","Baluch Liberation Front","Baluchistan conflict",4
"74","12","Bombing","6","2","near Sheikh Zuweid, Sinai, Egypt","Ansar Bait al-Maqdis millitants attacked an armoured vehicle near Sheikh Zuweid, killing 6 soldiers and injuring another 2.[78]","Ansar Bait al-Maqdis (ISIL)","Sinai insurgency",4
"75","12","Bombing","8","45","Arish, Sinai, Egypt","Ansar Bait al-Maqdis detonated a bomb outside a police station in Al-Arish. The attack killed 8 people and injured another 45.[78]","Ansar Bait al-Maqdis (ISIL)","Sinai insurgency",4
"76","14","Car bomb","17","55","Baghdad, Iraq","Six car bombs were set off in multiple areas throughout Baghdad. Seventeen people were killed with more than fifty-five wounded. The ISIL is thought to be behind the attack.[79]","ISIL (suspected)","Iraq War (2014-present)",4
"77","14","Shooting, bombing","10-20 (+3-7)","20","Mogadishu, Somalia","Al-Shabaab militants attacked a Somalian government building with small arms and bombs. Somali officials say that 10-15 civilians and 7 perpetrators were killed while Al-Shabaab say that they have killed 20 people and only 3 perpetrators were killed. Somali official said that 20 people were injured .[80]","Al-Shabaab","War in Somalia",4
"78","15","Vehicular attack","1","1 (+1)","East Jerusalem","Thirty-seven-year-old Khaled Koutineh rammed his car into Israelis waiting at a bus stop in the French Hill, killed twenty-five-years-old Shalom Yochai Sherki and injured another twenty-years-old Shira Klein. The attack occurred in the Eve of Holocaust Remembrance Day.[81]","Khaled Koutineh (Lone wolf)","Israeli-Palestinian conflict",4
"79","17","Bombing","3","5","Erbil, Iraq","A car bomb killed three and wounded five outside the US consulate in Erbil, Iraq. ISIL claimed responsibility for the attack.[82]","ISIL","Iraq War (2014-present)",4
"80","18","Suicide bombing","33","115","Jalalabad, Afghanistan","A suicide bomber set off a bomb outside a state run bank. Thirty-three were killed along with one hundred and fifteen wound. ISIL took credit for the attack.[83]","ISIL","War in Afghanistan",4
"81","20","Bombing","7","8","Garoowe, Somalia","Militants associated with Al-Shabaab detonated a bomb in a United Nations bus in the Northern town of Garoowe. Two Kenyans, one Ugandan, one Afghan and three Somalis were killed and one American, one Sierra Leonean, one Ugandan, one Kenyan and four Somalis were wounded. Four UNICEF workers were among the dead.[84]","Al-Shabaab","War in Somalia",4
"82","21","Raid","0","3","Lipkovo, Republic of Macedonia","40 armed men took over a police station at the border of Kosovo, tied the policemen and beat them the policemen and stole arms and equipment. See: Gošince attack","NLA","",4
"83","22","Suicide bombing","8","16","Balad, Iraq","Eight pilgrims returning from a Shiite shrine in Samarra were killed in a suicide bombing; 16 others were injured.[85]","ISIL (suspected)","Iraq War (2014-present)",4
"84","27","Shooting","1 (+1)","2","Zvornik, Bosnia and Herzegovina","Zvornik police station terrorist attack: At the police station in Zvornik, Republika Srpska, an armed member of a wahhabist movement opened fire on the police. In the shooting, a police officer was killed, two others were injured, and the attacker was eliminated by police.[86]","Wahhabist movement","",4
"85","3","Ambush","8","6","Nagaland, India","At least eight Assam Rifles personnels have been killed and six others injured in an ambush by suspected NSCN militants in Mon district of Nagaland on Sunday afternoon. Four other jawans of the paramilitary force are reported missing.[87]","NSCN","Insurgency in Northeast India",5
"86","3","Car bomb","19","Unknown","Baghdad, Iraq","Two car bombs were detonated ten minutes apart in Baghdad, Iraq. Nineteen were killed and an unknown number wounded. ISIL claimed responsibility for the attacks.[88]","ISIL","Iraq War",5
"87","3","Shooting","0 (+2)","1","Garland, Texas, United States","Garland terror attack: In an incident at a Curtis Culwell Center, a school district owned events center, two assailants opened fire outside a Mohammed art exhibit in Garland, Texas. Two gunmen drove up to the Curtis Culwell Center and opened fire on a security guard. A local policeman, providing security for the event, returned fire, killing both suspects. One security guard was injured and released from the hospital. Identity and motive of the suspects has not been identified. The American Freedom Defense Initiative hosted the art exhibit in support of freedom of speech. Guest speakers included politician Geert Wilders.[89]","ISIL","",5
"88","3","Raid","17+","Unknown","Warduj, Afghanistan","Taliban militants overran checkpoints in Warduj, killing 17 policemen at late night of 3 May.[90]","Taliban","War in Afghanistan",5
"89","4","Suicide bombing","1","15","Kabul, Afghanistan","A government bus was attacked by a suicide bomber in Kabul, killing one person and injuring 15 others.[91]","Taliban","War in Afghanistan",5
"90","8","Suicide bombing","22","Unknown","Balad Ruz, Iraq","Three suicide bombers attacked the Al Zahraa mosque and the Imam Hussein mosque, killing at least 22 people in total, including a senior police officer.[92]","ISIL (suspected)","Iraq War",5
"91","9","Shooting","22","37","Kumanovo, Republic of Macedonia","Kumanovo shootings: On 9 May 2015 an armed group clashed with police and army forces of the Republic of Macedonia in Kumanovo in northern Republic of Macedonia. Kumanovo is situated 40 km from the capital city of Skopje.","UÇK","",5
"92","10","Car bomb","14","30","Baghdad, Iraq","Two car bombs were detonated ten minutes apart in Baghdad, Iraq and surrounding towns of Taji and Tarmiyah. Fourteen were killed and thirty were wounded. The majority of the casualties were members of the security forces. ISIL claimed responsibility for the attacks.[93]","ISIL","Iraq War",5
"93","10","Suicide bombing","3","10","Kabul, Afghanistan","A bus carrying Afghan government employees was attacked in Kabul by a suicide bomber, killing 3 people and injuring 10. The Taliban claimed responsibility.[94]","Taliban","War in Afghanistan",5
"94","12","Suicide bombing","6","16","Baghdad, Iraq","A suicide bomber along with two mortar attacks were launched during a Shi'ite march in Baghdad, Iraq. Four were killed and twelve wounded in the van bombing and two were killed and four wounded during a mortar attack in Boub al-Sham. It is unknown who carried out the attacks.[95]","Unknown","War in Afghanistan",5
"95","13","Attack","45","13","Karachi, Pakistan","A bus carrying Shia Muslims was attacked by six armed gunman who rode up in motorcycles. After the attack the bus driver drove straight to a hospital, where people said most of the riders were either dead, unconscious, and spattered in blood.[96]","Jundallah (claimed), ISIL (claimed), Tehrik-i-Taliban Pakistan (claimed)","Sectarianism in Pakistan",5
"96","14","Suicide bombing, hostage taking","14","6","Kabul, Afghanistan","Park Palace guesthouse attack: A hotel that was hosting a cultural event was attacked by Taliban fighters in Kabul leaving 14 dead including an American, an Italian, and 4 Indians.[97]","Taliban","War in Afghanistan",5
"97","17","Suicide bombing","3","18","Kabul, Afghanistan","A suicide bomber detonated their explosives near the entrance of Hamid Karzai International Airport targeting a European police training vehicle, the blast killed two teenage Afghan girls and one British citizen. The Taliban claimed responsibility in an e-mail to the media.[98]","Taliban","War in Afghanistan",5
"98","19","Suicide bombing","1","7","Al Qubbah, Libya","A suicide bomber drove up to a checkpoint in a vehicle packed with explosives, detonating it and killing himself and injuring 7 others.[99]","ISIL (suspected)","Libyan Civil War",5
"99","19","Suicide bombing","4","42","Kabul, Afghanistan","A suicide car bomber detonated their explosives in the parking lot of a Justice Ministry building in the diplomatic section of Kabul, killing four people and sending 42 to the hospital. The Taliban claimed responsibility through an e-mail to the media.[100]","Taliban","War in Afghanistan",5
"100","20","Vehicular assault","0 (+1)","2","East Jerusalem","In a suspected terrorist attack, forty-one-years-old Omran Abu Dheim drove his car into two Israeli border officers in the At-Tur neighborhood of east East Jerusalem, injuring them. Another officer then shot the suspect, who died of his wounds shortly afterwards.[101]","Omran Abu Dheim (lone wolf)","Israeli-Palestinian conflict",5
"101","21","Suicide bombing","3","0","Misrata, Libya","A suicide bomber detonated his explosives at a military checkpoint outside of Misrata killing himself and two guards.[102]","ISIL","Libyan Civil War",5
"102","22","Suicide bombing","21","90+","al-Qadeeh, Saudi Arabia","A suicide bomber attacked a Shia mosque during prayer in the al-Qadeeh village in Saudi Arabia. Twenty-one were killed with more than ninety wounded. ISIL claimed responsibility for the attack.[103]","ISIL","",5
"103","24","Bombing","3","4","Karachi, Pakistan","A remote-controlled explosive planted on a parked motorbike was detonated by Baloch separatists, killing three people and injuring four policemen. Among the killed were a rickshaw driver, a 12-year old child and a passerby. The attack was reportedly targeting Pakistani President's son who had already passed the spot before the explosion took place.[104]","Baloch separatists","Balochestan conflict",5
"104","25","Raid","26","0","Nawzad District, Helmand Province, Afghanistan","Taliban militants killed 19 policemen and six soldiers during a siege at a police compound in Nawzad District of Afghanistan.[105]","Taliban","War in Afghanistan",5
"105","25","Shooting","7 (+1)","9","Tunis, Tunisia","Tunis barracks shooting: A Tunisian soldier kills 8 of his fellow soldiers and injures 9 others in a shooting rampage in Tunis before killing himself.[106]","Unknown","",5
