"","start_date","end_date","type","max_deaths","confirmed","injured","dead_perpetrators","perpetrator","part_of"
"35","2015-2-14","2015-2-14","Mass shooting",5,TRUE,3,0,"New People's Army","CPP-NPA-NDF rebellion"
"36","2015-2-14","2015-2-15","Shooting",2,TRUE,6,1,"Omar Abdul Hamid El-Hussein",""
"37","2015-2-17","2015-2-17","Bombing",8,TRUE,19,0,"Jamaat-ul-Ahrar","War in North-West Pakistan"
"38","2015-2-20","2015-2-20","Melee attack",1,TRUE,0,0,"3 unnamed suspects (lone wolf)",""
"39","2015-2-22","2015-2-22","Bombing",4,TRUE,10,0,"Anti-Maidan",""
"40","2015-2-22","2015-2-22","Car bombing",1,TRUE,9,0,"Unknown","Balochistan conflict"
"41","2015-2-24","2015-2-24","Bombing",1,TRUE,7,0,"Unknown","Balochistan conflict"
"42","2015-2-26","2015-2-26","Suicide bombing",19,TRUE,17,2,"Boko Haram","Boko Haram insurgency"
"43","2015-2-26","2015-2-26","Bombing",15,TRUE,0,0,"Boko Haram","Boko Haram insurgency"
"44","2015-3-1","2015-3-1","Bombing",2,TRUE,5,0,"Unknown",""
"45","2015-3-2","2015-3-2","Bombing",2,TRUE,3,0,"Taliban (suspected)","War in Afghanistan"
"46","2015-3-2","2015-3-2","Bombing",6,TRUE,2,0,"Taliban (suspected)","War in Afghanistan"
"47","2015-3-2","2015-3-2","Bombing",2,TRUE,9,0,"Unknown",""
"48","2015-3-3","2015-3-3","Bombing",3,TRUE,2,0,"ISIL (suspected)","Yemeni Civil War (2015)"
"49","2015-3-4","2015-3-4","Bombing",3,TRUE,2,0,"Boko Haram (suspected)","Boko Haram insurgency"
"50","2015-3-5","2015-3-5","Melee attack",0,TRUE,1,0,"Al-Mourabitoun",""
"51","2015-3-6","2015-3-6","Mass shooting",5,TRUE,9,0,"Palestinian man (lone wolf)","Northern Mali conflict"
"52","2015-3-6","2015-3-6","Vehicular assault, Melee attack",0,TRUE,7,0,"Palestinian man
(lone wolf)[60]","Israeli-Palestinian conflict"
"53","2015-3-6","2015-3-6","Mass shooting",5,TRUE,6,0,"Unknown","War in Afghanistan"
"54","2015-3-7","2015-3-7","Suicide bombing",58,TRUE,139,0,"Boko Haram","Boko Haram insurgency"
"55","2015-3-8","2015-3-8","Bombing",1,TRUE,9,0,"Unknown",""
"56","2015-3-8","2015-3-8","Artillery",3,TRUE,0,0,"Unknown","Northern Mali conflict"
"57","2015-3-15","2015-3-15","Suicide bombing",14,TRUE,70,0,"Jamaat-ul-Ahrar","War in North-West Pakistan"
"58","2015-3-18","2015-3-18","Shooting, hostage taking",21,TRUE,40,0,"ISIL",""
"59","2015-3-20","2015-3-20","Shooting",4,TRUE,10,0,"Unknown","Kashmir conflict"
"60","2015-3-20","2015-3-20","Suicide bombing",142,TRUE,351,0,"ISIL Yemen branch","Yemeni Civil War (2015)"
"61","2015-3-25","2015-3-25","Suicide bombing",17,TRUE,25,0,"ISIL (affiliate)","Libyan Civil War (2014–present)"
"62","2015-3-25","2015-3-25","Kidnapping",0,TRUE,0,0,"Boko Haram","Boko Haram insurgency"
"63","2015-3-25","2015-3-25","Melee attack",0,TRUE,1,1,"16-year-old Palestinian lone wolf","Israeli-Palestinian conflict"
"64","2015-3-26","2015-3-27","Suicide bombing, Shooting",24,TRUE,28,0,"Al-Shabaab","War in Somalia"
"65","2015-3-31","2015-3-31","Shooting",1,TRUE,2,3,"Revolutionary People's Liberation Party-Front","DHKP/C insurgency in Turkey"
"66","2015-4-2","2015-4-2","Hostage taking, Shooting",147,TRUE,79,4,"Al-Shabaab","War in Somalia"
"67","2015-4-2","2015-4-2","Ambush",5,TRUE,7,0,"Unknown","Kashmir conflict"
"68","2015-4-2","2015-4-2","Ambush",3,TRUE,4,0,"Unknown",""
"69","2015-4-3","2015-4-3","Car bomb",17,TRUE,0,0,"Unknown","Sinai insurgency"
"70","2015-4-6","2015-4-6","Mass shooting, arson",24,TRUE,0,0,"Boko Haram","Boko Haram insurgency"
"71","2015-4-8","2015-4-8","Ambush",2,TRUE,0,0,"Al-Qaeda and |ISIL (suspected)",""
"72","2015-4-10","2015-4-10","Car bomb",3,TRUE,12,0,"Unknown","Iraq War (2014–present)"
"73","2015-4-11","2015-4-11","Car bomb",0,TRUE,7,0,"Local Islamic insurgency group","South Thailand insurgency"
"74","2015-4-11","2015-4-11","Mass shooting",20,TRUE,0,0,"Baluch Liberation Front","Baluchistan conflict"
"75","2015-4-12","2015-4-12","Bombing",6,TRUE,2,0,"Ansar Bait al-Maqdis (ISIL)","Sinai insurgency"
"76","2015-4-12","2015-4-12","Bombing",8,TRUE,45,0,"Ansar Bait al-Maqdis (ISIL)","Sinai insurgency"
"77","2015-4-14","2015-4-14","Car bomb",20,FALSE,55,7,"ISIL (suspected)","Iraq War (2014-present)"
"78","2015-4-14","2015-4-14","Shooting, bombing",20,FALSE,20,0,"Al-Shabaab","War in Somalia"
"79","2015-4-15","2015-4-15","Vehicular attack",1,TRUE,1,0,"Khaled Koutineh (Lone wolf)","Israeli-Palestinian conflict"
"80","2015-4-17","2015-4-17","Bombing",3,TRUE,5,0,"ISIL","Iraq War (2014-present)"
"81","2015-4-18","2015-4-18","Suicide bombing",33,TRUE,115,0,"ISIL","War in Afghanistan"
"82","2015-4-19","2015-4-19","Shooting",1,TRUE,0,0,"Islamist Lone Wolf",NA
"83","2015-4-20","2015-4-20","Bombing",7,TRUE,8,0,"Al-Shabaab","War in Somalia"
"84","2015-4-21","2015-4-21","Raid",0,TRUE,3,0,"NLA",""
"85","2015-4-22","2015-4-22","Suicide bombing",8,TRUE,16,0,"ISIL (suspected)","Iraq War (2014-present)"
"86","2015-4-27","2015-4-27","Shooting",1,TRUE,2,1,"Wahhabist movement",""
"87","2015-5-3","2015-5-3","Ambush",8,TRUE,6,0,"NSCN","Insurgency in Northeast India"
"88","2015-5-3","2015-5-3","Car bomb",19,TRUE,0,0,"ISIL","Iraq War"
"89","2015-5-3","2015-5-3","Shooting",0,TRUE,1,2,"ISIL",""
"90","2015-5-3","2015-5-3","Raid",17,TRUE,0,0,"Taliban","War in Afghanistan"
"91","2015-5-4","2015-5-4","Suicide bombing",1,TRUE,15,0,"Taliban","War in Afghanistan"
"92","2015-5-8","2015-5-8","Suicide bombing",22,TRUE,0,0,"ISIL (suspected)","Iraq War"
"93","2015-5-9","2015-5-9","Shooting",22,TRUE,37,0,"UÇK",""
"94","2015-5-10","2015-5-10","Car bomb",14,TRUE,30,0,"ISIL","Iraq War"
"95","2015-5-10","2015-5-10","Suicide bombing",3,TRUE,10,0,"Taliban","War in Afghanistan"
"96","2015-5-12","2015-5-12","Suicide bombing",6,TRUE,16,0,"Unknown","War in Afghanistan"
"97","2015-5-13","2015-5-13","Attack",45,TRUE,13,0,"Jundallah (claimed), ISIL (claimed), Tehrik-i-Taliban Pakistan (claimed)","Sectarianism in Pakistan"
"98","2015-5-14","2015-5-14","Suicide bombing, hostage taking",14,TRUE,6,0,"Taliban","War in Afghanistan"
"99","2015-5-17","2015-5-17","Suicide bombing",3,TRUE,18,0,"Taliban","War in Afghanistan"
"100","2015-5-19","2015-5-19","Suicide bombing",1,TRUE,7,0,"ISIL (suspected)","Libyan Civil War"
"101","2015-5-19","2015-5-19","Suicide bombing",4,TRUE,42,0,"Taliban","War in Afghanistan"
"102","2015-5-20","2015-5-20","Vehicular assault",0,TRUE,2,1,"Omran Abu Dheim (lone wolf)","Israeli-Palestinian conflict"
"103","2015-5-21","2015-5-21","Suicide bombing",3,TRUE,0,0,"ISIL","Libyan Civil War"
"104","2015-5-22","2015-5-22","Suicide bombing",21,TRUE,90,0,"ISIL",""
"105","2015-5-24","2015-5-24","Bombing",3,TRUE,4,0,"Baloch separatists","Balochestan conflict"
"106","2015-5-25","2015-5-25","Raid",26,TRUE,0,0,"Taliban","War in Afghanistan"
"107","2015-5-25","2015-5-25","Shooting",7,TRUE,9,1,"Unknown",""
"108","2015-5-26","2015-5-26","Attack",2,TRUE,5,0,"Al-Shabaab","War in Somalia"
"109","2015-5-28","2015-5-28","Car bomb",10,TRUE,30,0,"ISIL","Iraq War"
"110","2015-5-29","2015-5-29","Suicide bombing",4,TRUE,0,0,"ISIL",""
"111","2015-5-29","2015-5-29","Suicide bombing",2,TRUE,5,0,"Unknown","War in North-West Pakistan"
"112","2015-5-29","2015-5-29","Attack",21,TRUE,0,0,"Unknown","Balochestan conflict"
"113","2015-5-29","2015-5-29","bombing",0,TRUE,16,0,"Abu Sayyaf (suspected)","Moro conflict"
"114","2015-6-1","2015-6-1","Suicide bombing",41,TRUE,63,0,"ISIL","Iraq War"
"115","2015-6-4","2015-6-4","Ambush",20,TRUE,11,0,"Unknown","Insurgency in Northeast India"
"116","2015-6-8","2015-6-8","Suicide bombing, shooting",7,TRUE,0,19,"Unknown","War in North-West Pakistan"
"117","2015-6-11","2015-6-11","Shooting",2,TRUE,6,0,"Pakistani Taliban","War in North-West Pakistan"
"118","2015-6-13","2015-6-13","Suicide bombing",11,TRUE,27,0,"ISIL","Iraq War"
"119","2015-6-15","2015-6-15","Suicide bombing",23,TRUE,100,0,"Boko Haram (suspected)","Boko Haram insurgency"
"120","2015-6-17","2015-6-17","Shooting",9,TRUE,1,0,"Dylann Roof
(lone wolf)",""
"121","2015-6-17","2015-6-17","Raid",38,TRUE,0,0,"Boko Haram","Boko Haram insurgency"
"122","2015-6-17","2015-6-17","Bombing",63,TRUE,0,0,"Boko Haram","Boko Haram insurgency"
"123","2015-6-22","2015-6-22","Car bomb, Shooting",9,TRUE,40,0,"Taliban","War in Afghnistan"
"124","2015-6-22","2015-6-23","Shooting",42,TRUE,0,0,"Boko Haram","Boko Haram insurgency"
"125","2015-6-23","2015-6-23","Suicide bombing",10,TRUE,0,0,"Unknown","Boko Haram insurgency"
"126","2015-6-23","2015-6-29","Suicide bombing",30,TRUE,0,0,"Boko Haram (suspected)","Boko Haram insurgency"
"127","2015-6-24","2015-6-24","Suicide bombing",6,TRUE,6,0,"Al Shabaab","Somali Civil War"
"128","2015-6-25","2015-6-25","Massacre, Suicide bombing, Hostage-taking",233,FALSE,300,0,"ISIL","Syrian Civil War"
"129","2015-6-25","2015-6-25","Bombing, Mass shooting",8,TRUE,24,0,"ISIL (suspected)","Iraq War"
"130","2015-6-26","2015-6-26","Suicide bombing",20,TRUE,0,0,"ISIL","Syrian Civil War"
"131","2015-6-26","2015-6-26","Bombing, Beheading",1,TRUE,12,0,"ISIL","Iraq War"
"132","2015-6-26","2015-6-26","Suicide bombing",27,TRUE,227,0,"ISIL",""
"133","2015-6-26","2015-6-26","Mass shooting",38,TRUE,40,0,"ISIL",""
"134","2015-6-26","2015-6-26","Attack",70,TRUE,27,0,"Al Shabaab","Somali Civil War"
"135","2015-6-27","2015-6-27","Shooting",3,TRUE,0,8,"Unknown","Insurgency in the Maghreb"
"136","2015-6-27","2015-6-27","Bombing",12,TRUE,34,0,"ISIL (suspected)","Iraq War"
"137","2015-6-28","2015-6-28","Suicide bombing",5,TRUE,15,0,"Boko Haram (suspected)","Boko Haram insurgency"
"138","2015-6-29","2015-6-29","Bombing",11,TRUE,0,0,"Unknown",""
"139","2015-6-29","2015-6-29","Car bomb",28,TRUE,0,0,"ISIL","Iraq War"
"140","2015-6-29","2015-6-29","Shooting",1,TRUE,3,0,"PFLP","Israeli-Palestinian conflict"
"141","2015-6-29","2015-6-29","Car bomb",1,TRUE,4,0,"Unknown",""
"142","2015-6-30","2015-6-30","Suicide bombing",2,TRUE,51,0,"Unknown","War in Afghanistan"
"143","2015-6-30","2015-6-30","Suicide bombing",1,TRUE,22,0,"Taliban","War in Afghanistan"
"144","2015-7-1","2015-7-1","Attack",21,TRUE,9,0,"Wilayat Sayna
(Islamic State)","Sinai Insurgency"
"145","2015-7-1","2015-7-2","Massacre",145,TRUE,17,0,"Boko Haram","Boko Haram insurgency"
"146","2015-7-4","2015-7-4","Car bombing",10,TRUE,0,0,"Unknown","Libyan Civil War"
"147","2015-7-4","2015-7-4","Bombing",7,TRUE,9,0,"Tehrik-i-Taliban Pakistan","War in North-West Pakistan"
"148","2015-7-5","2015-7-5","Bombing",69,TRUE,67,0,"Boko Haram","Boko Haram insurgency"
"149","2015-7-4","2015-7-5","Raid",26,TRUE,0,0,"Boko Haram","Boko Haram insurgency"
"150","2015-7-7","2015-7-7","Suicide bombing",25,TRUE,32,0,"Boko Haram","Boko Haram insurgency"
"151","2015-7-7","2015-7-7","Mass shooting",14,TRUE,0,0,"Al Shabaab","Somali Civil War"
"152","2015-7-8","2015-7-8","Beheading",3,TRUE,0,0,"Taliban","War in Afghanistan"
"153","2015-7-9","2015-7-9","Execution",5,TRUE,0,0,"Boko Haram","Boko Haram insurgency"
"154","2015-7-10","2015-7-10","Raid",11,TRUE,0,0,"Boko Haram","Boko Haram insurgency"
"155","2015-7-10","2015-7-10","Raid",43,TRUE,0,0,"Boko Haram","Boko Haram insurgency"
"156","2015-7-11","2015-7-11","Bombing",4,TRUE,1,0,"Boko Haram","Boko Haram insurgency"
"157","2015-7-11","2015-7-11","Suicide bombing",15,TRUE,80,0,"Boko Haram","Boko Haram insurgency"
"158","2015-7-11","2015-7-11","Car bomb",1,TRUE,9,0,"Islamic State","Sinai Insurgency"
"159","2015-7-12","2015-7-12","Car bomb, suicide bombing",29,TRUE,81,0,"Islamic State","Iraq War"
"160","2015-7-12","2015-7-12","Raid",4,TRUE,0,0,"Boko Haram","Boko Haram insurgency"
"161","2015-7-13","2015-7-13","Suicide bombing",33,TRUE,10,0,"Unknown","War in Afghanistan"
"162","2015-7-13","2015-7-13","Suicide bombing",33,TRUE,10,0,"Boko Haram","Boko Haram insurgency in Cameroon"
"163","2015-7-15","2015-7-15","Attack",33,TRUE,0,0,"Boko Haram","Boko Haram insurgency"
"164","2015-7-15","2015-7-15","Melee attack",0,TRUE,1,0,"Ruan Abu Matar
(lone wolf)","Israeli-Palestinian conflict"
"165","2015-7-16","2015-7-16","Car bombing",1,TRUE,2,0,"Islamic State",""
"166","2015-7-16","2015-7-16","Ambush",2,TRUE,0,0,"Unknown","South Thailand insurgency"
"167","2015-7-16","2015-7-16","Spree shooting",5,TRUE,2,1,"Muhammad Abdulazeez (lone wolf)",""
"168","2015-7-17","2015-7-17","Suicide bombing",64,TRUE,0,0,"Unknown","Boko Haram insurgency"
"169","2015-7-17","2015-7-17","Suicide bombing, car bomb",130,TRUE,130,0,"Islamic State","Iraqi Civil War"
"170","2015-7-20","2015-7-20","Suicide bombing",32,TRUE,0,0,"Islamic State",""
"171","2015-7-25","2015-7-25","Suicide bombing",12,TRUE,45,0,"Unknown","Iraq War"
"172","2015-7-26","2015-7-26","Suicide bombing",16,TRUE,50,0,"Boko Haram","Boko Haram insurgency"
"173","2015-7-26","2015-7-26","Suicide bombing",15,FALSE,0,0,"Al-Shabaab","Somali Civil War"
"174","2015-7-26","2015-7-26","Suicide bombing",20,TRUE,70,0,"Unknown","Boko Haram insurgency in Cameroon"
"175","2015-7-27","2015-7-27","Mass shooting",10,TRUE,8,0,"Unknown",""
"176","2015-7-28","2015-7-28","Bombing",2,TRUE,6,0,"Unknown",""
"177","2015-7-29","2015-7-29","Suicide bombing, car bomb",12,TRUE,8,0,"Islamic State (suspected)","Iraq War"
"178","2015-7-29","2015-7-29","Suicide bombing, car bomb",6,TRUE,4,0,"Islamic State (suspected)","Iraq War"
"179","2015-7-30","2015-7-30","Suicide bombing, car bomb",9,TRUE,16,0,"Islamic State","Iraq War"
"180","2015-7-30","2015-7-30","Suicide bombing, car bomb",10,FALSE,8,0,"Islamic State","Iraq War"
"181","2015-7-31","2015-7-31","Arson",3,TRUE,1,0,"Jewish gang","Israeli-Palestinian conflict"
"182","2015-7-31","2015-7-31","Suicide bombing",10,FALSE,11,0,"Boko Haram
(suspected)","Boko Haram insurgency"
"183","2015-7-31","2015-7-31","Suicide bombing, car bomb",9,TRUE,0,0,"Al-Qaeda in the Arabian Peninsula
(Suspected)","Yemeni Civil War"
"184","2015-7-31","2015-7-31","Melee attack",1,TRUE,5,0,"Yishai Schlissel
(lone wolf)",""
"185","2015-8-2","2015-8-2","Suicide bombing",2,TRUE,24,0,"Kurdistan Workers' Party (PKK)","Turkey–PKK conflict"
"186","2015-8-3","2015-8-3","Petrol bomb",0,TRUE,3,0,"Islamic State affiliate","Israeli-Palestinian conflict"
"187","2015-8-6","2015-8-6","Vehicular assault",0,TRUE,3,0,"Raid Mohammed Badwan (lone wolf)","Israeli-Palestinian conflict"
"188","2015-8-6","2015-8-6","Suicide bombing",15,TRUE,9,0,"Islamic State affiliate[45]",""
"189","2015-8-6","2015-8-6","Suicide bombing",8,TRUE,12,0,"Unknown","War in Afghanistan"
"190","2015-8-7","2015-8-7","Melee attack",1,TRUE,0,0,"Ansarullah Bangla Team (suspected)","Internal conflict in Bangladesh"
"191","2015-8-7","2015-8-7","Attack",13,TRUE,0,0,"Unknown","Insurgency in the Maghreb"
"192","2015-8-7","2015-8-7","Suicide bombing, car bomb",50,TRUE,500,1,"Taliban (suspected)","War in Afghanistan"
"193","2015-8-9","2015-8-9","Shooting",3,TRUE,1,1,"Unknown","Sinai insurgency"
"194","2015-8-9","2015-8-9","Shooting",4,TRUE,2,0,"Boko Haram (Suspected)","Boko Haram insurgency"
"195","2015-8-9","2015-8-9","Shooting",10,TRUE,0,0,"Unknown","Insurgency in the Maghreb"
"196","2015-8-9","2015-8-9","Car bomb",3,TRUE,13,0,"Islamic State (suspected)","Libyan Civil War"
"197","2015-8-9","2015-8-9","Melee weapon",0,TRUE,1,1,"Palestinian (lone wolf)","Israeli-Palestinian conflict"
"198","2015-8-10","2015-8-10","Suicide bombing",50,TRUE,80,0,"Islamic State","Iraq War"
"199","2015-8-10","2015-8-10","Suicide bombing",5,TRUE,16,0,"Taliban (suspected)","War in Afghanistan"
"200","2015-8-13","2015-8-13","car bomb",76,TRUE,212,0,"Islamic State","Iraq War"
"201","2015-8-15","2015-8-15","Melee attack",0,TRUE,1,0,"Mahmoud Nasim Yousef Gumhouriyya (lone wolf)","Israeli-Palestinian conflict"
"202","2015-8-15","2015-8-15","Melee attack",0,TRUE,1,1,"Ahmad Kamal Rafik (lone wolf)","Israeli-Palestinian conflict"
"203","2015-8-15","2015-8-15","Bombing",20,TRUE,101,0,"Islamic State","Iraq War"
"204","2015-8-16","2015-8-16","Suicide bombing",22,TRUE,20,0,"Lashkar-e-Jhangvi","War in North-West Pakistan"
"205","2015-8-17","2015-8-17","Melee attack",0,TRUE,1,1,"Abu-Amsha al-Atrash (Palestinian Islamic Jihad)","Israeli-Palestinian conflict"
"206","2015-8-17","2015-8-17","Bombing",21,TRUE,123,0,"Grey Wolves (suspected)",""
"207","2015-8-19","2015-8-19","Car bomb",0,TRUE,29,0,"Ayoub El Kahzani","Sinai insurgency"
"208","2015-8-19","2015-8-19","Bombing",8,TRUE,0,0,"Kurdistan Workers' Party (PKK)","Turkey-PKK conflict"
"209","2015-8-21","2015-8-21","Shooting Melee attack",0,TRUE,3,0,"Ayoub El Kahzani[71]",""
"210","2015-8-22","2015-8-22","Car bomb",10,TRUE,60,0,"Taliban (suspected)","War in Afghanistan"
"211","2015-8-24","2015-8-24","Bombing",2,TRUE,24,0,"Unknown","Sinai insurgency"
"212","2015-8-26","2015-8-26","Melee attack",0,TRUE,1,0,"Mahmoud Ata Muammar (lone wolf)","Israeli-Palestinian conflict"
"213","2015-8-31","2015-8-31","Chemical",0,TRUE,100,0,"Unknown","War in Afghanistan"
"214","2015-9-2","2015-9-2","Car bomb",10,TRUE,25,0,"Unknown","Syrian Civil War"
"215","2015-9-3","2015-9-3","Suicide bombing and car bomb",32,TRUE,92,0,"Islamic State","Yemeni Civil War"
"216","2015-9-3","2015-9-3","Suicide bombing",10,TRUE,100,0,"Boko Haram (suspected)","Boko Haram insurgency"
"217","2015-9-4","2015-9-4","Car bomb",26,TRUE,50,0,"al-Nusra Front (Suspected)","Syrian Civil War"
"218","2015-9-11","2015-9-11","Car bomb",2,TRUE,0,0,"Ansar Bait al-Maqdis (Islamic State)","Sinai Insurgency"
"219","2015-9-11","2015-9-11","Bombing",7,TRUE,20,0,"Boko Haram (suspected)","Boko Haram insurgency"
"220","2015-9-14","2015-9-14","Stone-throwing",1,TRUE,2,0,"Abed Mohamed Abed Rabu Dawiat and his gang","Israeli-Palestinian conflict"
"221","2015-9-14","2015-9-14","Car bomb",20,TRUE,70,0,"Islamic State (suspected)","Syrian civil war"
"222","2015-9-17","2015-9-17","Melee attack",0,TRUE,1,1,"Rafik Y","lone wolf"
"223","2015-9-17","2015-9-17","Bombing, shooting",20,TRUE,10,0,"Taliban",""
"224","2015-9-20","2015-9-20","Suicide bombing",3,TRUE,0,2,"Boko Haram","Boko Haram insurgency"
"225","2015-9-20","2015-9-20","Bombing, Suicide Bombing",145,TRUE,97,0,"Boko Haram","Boko Haram insurgency"
"226","2015-9-24","2015-9-24","Suicide bombing",25,FALSE,36,2,"Islamic State","Yemeni civil war"
"227","2015-9-26","2015-9-26","Bombing",2,TRUE,16,0,"Ansar Bait al-Maqdis (Islamic State)","Sinai Insurgency"
"228","2015-9-26","2015-9-26","Raid, arson",15,TRUE,4,0,"Boko Haram","Boko Haram insurgency"
"229","2015-9-28","2015-9-28","Raid, kidnapping, arson",8,TRUE,0,0,"Boko Haram","Boko Haram insurgency"
"230","2015-9-28","2015-9-28","Bombing",10,TRUE,33,0,"Taliban or Haqqani network (suspected)","War in Afghanistan"
"231","2015-10-1","2015-10-1","Bombing",0,TRUE,18,0,"Abu Sayyaf (suspected)","Moro Conflict"
"232","2015-10-1","2015-10-1","Bombing",4,TRUE,6,0,"Abu Sayyaf (suspected)","Moro Conflict"
"233","2015-10-1","2015-10-1","Shooting",2,TRUE,0,0,"Hamas affiliated cell","Israeli-Palestinian conflict"
"234","2015-10-1","2015-10-1","Attack",4,TRUE,7,0,"PKK","Turkish-PKK conflict"
"235","2015-10-2","2015-10-2","Shooting",1,TRUE,0,1,"Farhad Khalil Mohammad Jabar (lone wolf)","Terrorism in Australia"
"236","2015-10-2","2015-10-2","Suicide bombing",18,TRUE,41,0,"Boko Haram","Boko Haram insurgency"
"237","2015-10-3","2015-10-3","Melee attack, Shooting",2,TRUE,2,1,"Mohannad Hallabi
(lone wolf)","Israeli-Palestinian conflict"
"238","2015-10-4","2015-10-4","Melee attack",0,TRUE,1,1,"Fadi Aloon (lone wolf)","Israeli-Palestinian conflict"
"239","2015-10-4","2015-10-4","Suicide bombing",8,TRUE,11,0,"Boko Haram (suspected)","Boko Haram insurgency"
"240","2015-10-5","2015-10-5","Suicide bombing, car bomb",57,TRUE,0,0,"Islamic State","Iraq War"
"241","2015-10-7","2015-10-7","Suicide bombing",7,TRUE,3,0,"Islamic State","Yemeni Civil War"
"242","2015-10-7","2015-10-7","Melee attack",0,TRUE,1,0,"(lone wolf)","Israeli-Palestinian conflict"
"243","2015-10-7","2015-10-7","Melee attack",0,TRUE,1,1,"Amjad al Jundi (of Hamas)","Israeli-Palestinian conflict"
"244","2015-10-7","2015-10-7","Melee attack",0,TRUE,1,0,"Tamer Yunis Ahmed (Lone wolf)","Israeli-Palestinian conflict"
"245","2015-10-8","2015-10-8","Melee attack",0,TRUE,1,0,"Subhi Ibrahim Mohammed Abu Khalifa (Lone wolf)","Israeli-Palestinian conflict"
"246","2015-10-8","2015-10-8","Melee attack",0,TRUE,4,1,"Tair Abu Gazala (Lone wolf)","Israeli-Palestinian conflict"
"247","2015-10-8","2015-10-8","Melee attack",0,TRUE,1,0,"Palestinian Lone wolf (suspected)","Israeli-Palestinian conflict"
"248","2015-10-8","2015-10-8","Melee attack",0,TRUE,2,0,"Tarak Yahya (Lone wolf)","Israeli-Palestinian conflict"
